player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Anthony Contreras,FW,Costa Rica,22-312,2000,1.4,26,23,3,0,0,0,1,1,0,0,0,0,15,0,2
Antoine Griezmann,MF,France,31-261,1991,3.2,218,185,31,9,3,4,26,0,22,9,9,0,172,2,3
Antoine Semenyo,FW,Ghana,22-334,2000,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Antonee Robinson,DF,United States,25-121,1997,4.0,241,205,36,4,0,1,21,32,0,0,0,0,173,0,7
Antonio Rüdiger,DF,Germany,29-279,1993,3.0,252,242,9,6,0,2,0,2,0,0,0,0,229,1,1
Antony,FW,Brazil,22-286,2000,1.2,79,72,7,1,0,0,7,0,6,3,0,0,61,0,1
António Silva,DF,Portugal,19-038,2003,1.0,62,60,2,2,0,2,0,0,0,0,0,0,60,0,0
Ao Tanaka,MF,Japan,24-088,1998,1.9,69,66,3,1,0,0,2,0,0,0,0,0,48,0,0
Ardon Jasari,FW,Switzerland,20-130,2002,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Arkadiusz Milik,FW,Poland,28-282,1994,1.1,29,29,0,0,0,1,0,0,0,0,0,0,19,0,3
Artur Jędrzejczyk,DF,Poland,35-033,1987,0.2,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Asiri Haitham,FW,Saudi Arabia,21-257,2001,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Assim Madibo,MF,Qatar,26-046,1996,1.7,70,67,3,3,0,0,0,0,0,0,0,0,58,0,1
Atiba Hutchinson,MF,Canada,39-302,1983,1.8,112,108,4,4,0,0,0,0,0,0,0,0,100,0,3
Aurélien Tchouaméni,MF,France,22-314,2000,3.6,314,309,4,4,0,2,3,0,0,0,0,0,294,1,0
Awer Mabil,MF,Australia,27-083,1995,0.3,14,13,1,0,0,1,0,1,0,0,0,0,10,0,1
Axel Disasi,DF,France,24-271,1998,1.0,78,61,17,1,0,0,2,16,0,0,0,0,61,0,1
Axel Witsel,MF,Belgium,33-329,1989,3.0,177,161,16,15,0,0,0,1,0,0,0,0,169,0,1
Ayase Ueda,FW,Japan,24-088,1998,0.5,12,12,0,0,1,0,0,0,0,0,0,0,7,0,0
Aymeric Laporte,DF,Spain,28-194,1994,3.3,438,424,14,9,0,3,0,3,0,0,0,0,413,0,2
Aziz Behich,DF,Australia,31-356,1990,4.0,203,156,47,3,0,0,5,44,0,0,0,0,152,0,5
Azzedine Ounahi,MF,Morocco,22-232,2000,3.9,137,135,0,0,1,0,2,0,0,0,0,0,106,2,4
Aïssa Laïdouni,MF,Tunisia,25-359,1996,2.7,123,118,5,3,0,1,3,2,0,0,0,0,99,0,3
Baba Rahman,DF,Ghana,28-158,1994,2.0,100,75,24,1,0,0,11,20,3,0,3,0,66,1,3
Badr Banoun,DF,Morocco,29-068,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Wright,DF,Australia,30-132,1992,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Bamba Dieng,FW,Senegal,22-259,2000,1.1,16,15,1,0,0,0,1,0,0,0,0,0,9,0,1
Bartosz Bereszyński,DF,Poland,30-148,1992,3.8,156,112,44,5,0,0,4,39,0,0,0,0,122,0,6
Bassam Al-Rawi,DF,Qatar,24-356,1997,1.0,57,53,4,4,1,2,0,0,0,0,0,0,47,0,1
Ben Davies,DF,Wales,29-227,1993,2.6,161,135,25,8,0,5,0,17,0,0,0,0,122,1,7
Benjamin Pavard,DF,France,26-254,1996,1.0,90,84,6,1,0,1,1,5,0,0,0,0,82,0,0
Bernardo Silva,MF,Portugal,28-119,1994,3.0,191,178,13,7,0,1,4,1,5,0,0,0,168,0,5
Borna Barišić,DF,Croatia,30-027,1992,1.3,69,56,13,2,0,0,11,11,0,0,0,0,50,0,0
Borna Sosa,DF,Croatia,24-320,1998,3.0,205,169,35,2,0,0,16,33,0,0,0,0,165,1,4
Boualem Khoukhi,DF,Qatar,32-151,1990,3.0,197,184,12,10,0,1,0,1,0,0,0,0,169,1,1
Boulaye Dia,FW,Senegal,26-021,1996,3.5,53,51,1,0,0,0,1,0,0,0,0,0,39,1,2
Brandon Aguilera,MF,Costa Rica,19-162,2003,1.0,38,35,2,2,0,1,1,0,0,0,0,0,27,1,2
Breel Embolo,FW,Switzerland,25-296,1997,3.6,62,53,8,0,0,0,0,0,0,0,0,0,46,1,2
Brenden Aaronson,MF,United States,22-046,2000,1.2,50,46,4,0,0,0,3,1,3,2,1,0,41,0,3
Brennan Johnson,FW,Wales,21-198,2001,1.0,17,16,1,0,0,0,1,1,0,0,0,0,10,0,1
Bruno Fernandes,FW,Portugal,28-090,1994,3.0,158,145,13,5,2,12,14,1,7,0,4,0,130,0,6
Bruno Guimarães,MF,Brazil,25-021,1997,0.8,54,51,2,1,0,0,3,0,1,1,0,0,43,1,2
Bruno Petković,FW,Croatia,28-082,1994,1.3,47,46,0,0,0,2,1,0,0,0,0,0,23,1,3
Bryan Mbeumo,FW,Cameroon,23-122,1999,2.6,85,74,11,5,0,0,12,0,6,3,2,0,49,0,3
Bryan Oviedo,DF,Costa Rica,32-292,1990,2.9,89,77,10,1,0,0,2,9,0,0,0,0,67,2,5
Bryan Ruiz,MF,Costa Rica,37-111,1985,0.3,12,9,1,0,0,0,0,0,0,0,0,0,8,2,0
Bukayo Saka,FW,England,21-093,2001,2.3,83,79,4,1,0,1,4,1,0,0,0,0,66,0,3
Callum Wilson,FW,England,30-283,1992,0.5,10,9,1,0,0,0,0,0,0,0,0,0,9,0,0
Cameron Carter-Vickers,DF,United States,24-341,1997,1.0,58,54,4,4,0,1,0,0,0,0,0,0,50,0,0
Carlos Gruezo,MF,Ecuador,27-232,1995,0.5,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0
Carlos Martínez,DF,Costa Rica,23-252,1999,0.5,15,9,6,1,0,0,0,5,0,0,0,0,10,0,0
Carlos Soler,MF,Spain,25-339,1997,1.0,83,78,4,1,0,1,3,1,2,1,1,0,78,1,1
Casemiro,MF,Brazil,30-287,1992,3.0,186,182,4,4,1,3,0,0,0,0,0,0,157,0,2
Celso Borges,MF,Costa Rica,34-194,1988,2.8,120,111,7,7,1,3,2,0,0,0,0,0,98,2,1
Charles De Ketelaere,FW,Belgium,21-272,2001,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Charly Rodríguez,MF,Mexico,25-338,1997,0.4,30,29,0,0,1,1,1,0,0,0,0,0,21,1,1
Cheikhou Kouyaté,MF,Senegal,32-351,1989,0.8,23,22,1,0,0,0,2,0,0,0,0,0,19,0,1
Cho Guesung,FW,Korea Republic,24-316,1998,3.1,63,56,7,0,0,0,1,0,0,0,0,0,40,0,0
Cho Yumin,FW,Korea Republic,26-020,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-032,1997,3.0,172,167,5,3,0,0,0,2,0,0,0,0,141,0,0
Christian Bassogog,MF,Cameroon,27-050,1995,0.3,9,9,0,0,0,0,2,0,0,0,0,0,5,0,3
Christian Eriksen,MF,Denmark,30-296,1992,3.0,230,196,32,10,0,3,30,2,20,3,9,8,188,2,2
Christian Fassnacht,FW,Switzerland,29-026,1993,0.1,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
Christian Nørgaard,MF,Denmark,28-272,1994,0.1,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
Christian Pulisic,FW,United States,24-080,1998,3.5,141,118,23,4,2,0,31,0,19,12,5,1,83,0,7
Christopher Wooh,DF,Cameroon,21-080,2001,1.0,31,27,4,4,0,0,0,0,0,0,0,0,25,0,0
Cody Gakpo,FW,Netherlands,23-214,1999,3.8,111,92,19,2,1,0,22,2,15,6,8,0,73,0,4
Collins Fai,DF,Cameroon,30-116,1992,3.0,146,118,28,4,1,1,13,24,0,0,0,0,99,0,4
Connor Roberts,DF,Wales,27-075,1995,2.2,118,99,19,0,0,0,7,19,0,0,0,0,92,0,3
Craig Goodwin,MF,Australia,30-356,1991,2.6,95,84,11,3,0,0,18,4,4,3,1,0,58,0,4
Cristian Romero,DF,Argentina,24-224,1998,2.9,225,219,6,6,0,0,0,0,0,0,0,0,205,0,0
Cristiano Ronaldo,FW,Portugal,37-305,1985,2.8,84,76,8,1,0,0,1,2,0,0,0,0,65,0,1
Cyle Larin,FW,Canada,27-234,1995,1.5,29,29,0,0,0,0,3,0,0,0,0,0,21,0,3
César Azpilicueta,DF,Spain,33-101,1989,1.5,181,162,18,7,1,0,3,11,0,0,0,0,171,1,1
César Montes,DF,Mexico,25-286,1997,3.0,197,192,3,2,0,3,0,1,0,0,0,0,159,2,3
Daichi Kamada,FW,Japan,26-124,1996,3.6,104,92,12,2,0,2,5,1,6,2,3,0,83,0,2
Daizen Maeda,FW,Japan,25-048,1997,2.0,17,15,2,0,0,0,0,0,0,0,0,0,8,0,0
Daley Blind,DF,Netherlands,32-273,1990,4.0,273,244,29,3,0,2,6,25,1,0,0,0,230,0,1
Damian Szymański,MF,Poland,27-174,1995,0.3,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Dani Alves,DF,Brazil,39-215,1983,1.3,97,82,15,4,0,0,6,11,0,0,0,0,83,0,0
Dani Carvajal,DF,Spain,30-330,1992,1.5,135,109,26,7,0,0,0,19,0,0,0,0,121,0,4
Dani Olmo,FW,Spain,24-214,1998,4.1,198,180,17,3,3,1,10,0,14,1,3,0,162,1,6
Daniel Amartey,DF,Ghana,27-351,1994,2.8,141,136,5,5,0,1,0,0,0,0,0,0,128,0,3
Daniel Chacón,MF,Costa Rica,21-240,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Daniel James,FW,Wales,25-027,1997,1.7,36,32,3,0,0,0,4,1,1,0,0,0,24,1,0
Daniel Kyereh,MF,Ghana,26-274,1996,0.4,23,19,4,1,0,0,5,0,3,2,1,0,18,0,0
Danilo,DF,Brazil,31-145,1991,1.8,161,147,14,2,0,1,6,12,0,0,0,0,139,0,2
Danilo Pereira,DF,Portugal,31-089,1991,1.0,78,76,2,2,0,1,0,0,0,0,0,0,68,0,1
Danny Ward,GK,Wales,29-168,1993,1.0,39,25,14,5,0,0,0,0,0,0,0,0,24,0,0
Darko Lazović,DF,Serbia,32-083,1990,0.3,12,12,0,0,0,0,1,0,0,0,0,0,7,0,1
Darwin Núñez,FW,Uruguay,23-166,1999,2.7,56,53,3,0,0,0,4,1,0,0,0,0,35,0,1
David Raum,DF,Germany,24-229,1998,2.7,195,153,40,8,0,1,24,25,7,0,7,0,153,2,3
David Wotherspoon,MF,Canada,32-325,1990,0.2,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0
Davy Klaassen,MF,Netherlands,29-289,1993,2.1,77,77,0,0,1,0,2,0,0,0,0,0,59,0,1
Dayot Upamecano,DF,France,24-041,1998,3.0,236,233,3,2,0,4,0,1,0,0,0,0,222,0,2
DeAndre Yedlin,DF,United States,29-151,1993,0.4,28,23,5,0,0,0,4,5,0,0,0,0,19,0,0
Declan Rice,MF,England,23-327,1999,3.6,260,259,1,1,0,3,3,0,0,0,0,0,242,0,4
Dejan Lovren,DF,Croatia,33-155,1989,4.3,296,287,8,7,0,4,2,1,0,0,0,0,256,1,4
Denis Odoi,DF,Ghana,34-194,1988,0.1,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0
Denis Zakaria,MF,Switzerland,26-017,1996,0.7,23,21,2,2,0,0,0,0,0,0,0,0,20,0,0
Denzel Dumfries,DF,Netherlands,26-233,1996,4.0,176,139,37,0,0,0,8,37,0,0,0,0,119,0,7
Devis Epassy,GK,Cameroon,29-308,1993,2.0,83,51,32,7,0,1,0,0,0,0,0,0,57,0,0
Diego Godín,DF,Uruguay,36-294,1986,1.7,103,101,2,2,0,0,0,0,0,0,0,0,87,0,0
Diogo Costa,GK,Portugal,23-079,1999,4.0,135,101,32,6,0,0,0,0,0,0,0,0,91,2,1
Diogo Dalot,DF,Portugal,23-264,1999,2.0,106,90,15,1,0,2,5,14,0,0,0,0,83,1,1
Djibril Sow,MF,Switzerland,25-304,1997,2.9,97,94,3,1,0,0,1,0,0,0,0,0,84,0,1
Djorkaeff Reasco,FW,Ecuador,23-323,1999,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Dominik Livaković,GK,Croatia,27-332,1995,4.3,123,93,30,6,0,0,0,0,0,0,0,0,103,0,1
Dries Mertens,MF,Belgium,35-215,1987,0.8,33,30,3,0,0,0,5,0,3,2,1,0,22,0,1
Dušan Tadić,MF,Serbia,34-017,1988,2.9,127,108,17,7,2,1,17,1,9,4,5,0,90,2,3
Dušan Vlahović,FW,Serbia,22-313,2000,0.9,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0
Dylan Bronn,DF,Tunisia,27-171,1995,1.8,98,89,8,3,1,1,0,5,0,0,0,0,75,1,2
Eden Hazard,MF,Belgium,31-334,1991,1.4,58,58,0,0,1,0,1,0,0,0,0,0,46,0,2
Ederson,GK,Brazil,29-112,1993,1.0,31,25,6,0,0,0,0,0,0,0,0,0,28,0,0
Edimilson Fernandes,FW,Switzerland,26-236,1996,1.6,82,68,14,1,0,0,5,13,0,0,0,0,65,0,2
Edinson Cavani,FW,Uruguay,35-296,1987,1.4,37,36,1,0,0,0,0,0,1,0,0,0,27,0,2
Edouard Mendy,GK,Senegal,30-281,1992,4.0,120,83,37,11,0,2,0,0,0,0,0,0,88,0,0
Edson Álvarez,MF,Mexico,25-044,1997,1.9,114,111,3,3,1,0,0,0,0,0,0,0,86,0,1
Eduardo Camavinga,DF,France,20-027,2002,1.0,78,67,11,2,0,0,2,9,0,0,0,0,67,0,3
Ehsan Hajsafi,MF,IR Iran,32-285,1990,2.6,98,82,16,6,1,1,11,7,3,0,3,0,61,0,3
Ellyes Skhiri,MF,Tunisia,27-211,1995,3.0,127,122,5,3,0,1,2,1,0,0,0,0,109,0,1
Emiliano Martínez,GK,Argentina,30-096,1992,4.0,94,75,19,4,0,0,0,0,0,0,0,0,73,0,1
Enner Valencia,FW,Ecuador,33-033,1989,2.8,57,54,3,0,0,0,3,1,0,0,0,0,40,0,5
Enzo Ebosse,DF,Cameroon,23-271,1999,1.0,38,33,5,4,0,0,0,1,0,0,0,0,34,0,1
Enzo Fernández,MF,Argentina,21-324,2001,2.6,260,254,6,5,1,1,2,1,0,0,0,0,232,0,2
Eray Cömert,DF,Switzerland,24-306,1998,0.5,42,41,1,1,0,0,0,0,0,0,0,0,38,0,0
Eric Dier,DF,England,28-326,1994,0.4,41,40,1,1,0,0,0,0,0,0,0,0,40,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-259,1989,2.8,66,59,7,0,0,0,0,0,0,0,0,0,44,0,1
Erick Gutiérrez,MF,Mexico,27-175,1995,0.5,29,28,1,1,0,0,0,0,0,0,0,0,24,0,0
Ethan Ampadu,MF,Wales,22-084,2000,2.8,144,134,9,4,1,2,2,5,0,0,0,0,108,1,5
Everton Ribeiro,MF,Brazil,33-241,1989,0.4,18,17,1,0,0,0,2,0,1,0,1,0,15,0,0
Exequiel Palacios,MF,Argentina,24-063,1998,0.4,13,11,1,1,0,0,0,0,0,0,0,0,11,1,0
Fabian Frei,MF,Switzerland,33-333,1989,0.3,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
Fabian Rieder,FW,Switzerland,20-294,2002,0.8,26,24,2,0,0,1,1,0,2,0,1,0,13,0,0
Fabian Schär,DF,Switzerland,30-352,1991,1.5,82,74,8,8,0,4,0,0,0,0,0,0,65,0,0
Fabinho,MF,Brazil,29-045,1993,1.0,57,54,3,3,0,0,0,0,0,0,0,0,51,0,1
Facundo Pellistri,MF,Uruguay,20-352,2001,2.0,46,46,0,0,0,0,3,0,0,0,0,0,32,0,3
Famara Diedhiou,FW,Senegal,29-357,1992,1.0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,2
Federico Valverde,MF,Uruguay,24-138,1998,3.0,189,175,13,8,1,3,7,1,4,0,3,0,159,1,1
Ferjani Sassi,MF,Tunisia,30-264,1992,0.5,34,33,0,0,0,0,0,0,0,0,0,0,25,1,0
Ferrán Torres,FW,Spain,22-281,2000,2.4,85,85,0,0,0,0,9,0,0,0,0,0,59,0,7
Filip Kostić,DF,Serbia,30-036,1992,2.0,113,89,24,2,1,0,16,22,0,0,0,0,72,0,5
Filip Mladenović,DF,Serbia,31-114,1991,0.7,25,18,7,0,0,0,1,7,0,0,0,0,20,0,1
Filip Đuričić,MF,Serbia,30-311,1992,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-207,2000,3.0,63,62,0,0,0,0,2,0,0,0,0,0,42,1,7
Fodé Ballo-Touré,DF,Senegal,25-338,1997,0.1,8,7,1,0,0,0,2,1,0,0,0,0,5,0,1
Fran Karačić,DF,Australia,26-209,1996,1.0,54,43,11,0,0,0,5,11,0,0,0,0,33,0,1
Francisco Calvo,DF,Costa Rica,30-152,1992,2.0,104,93,11,4,0,3,0,6,0,0,0,0,86,0,0
Fred,MF,Brazil,29-277,1993,1.4,81,78,3,2,0,0,0,1,0,0,0,0,69,0,1
Frenkie de Jong,MF,Netherlands,25-209,1997,3.9,271,266,5,2,0,2,2,3,0,0,0,0,240,0,2
Félix Torres Caicedo,DF,Ecuador,25-330,1997,3.0,208,196,10,10,0,1,0,0,0,0,0,0,168,2,3
Gabriel Jesus,FW,Brazil,25-248,1997,1.0,28,26,2,0,0,0,1,1,0,0,0,0,22,0,2
Garang Kuol,FW,Australia,18-083,2004,0.4,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Gareth Bale,FW,Wales,33-144,1989,2.5,53,49,4,0,0,3,2,2,0,0,0,0,33,0,2
Gavi,MF,Spain,18-124,2004,3.2,154,146,8,3,0,0,4,0,0,0,0,0,133,0,5
Gaël Ondoua,MF,Cameroon,27-033,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-297,1995,0.3,12,11,1,0,0,1,2,0,1,0,0,0,9,0,2
Germán Pezzella,DF,Argentina,31-163,1991,0.1,18,18,0,0,0,0,0,0,0,0,0,0,18,0,0
Gerson Torres,MF,Costa Rica,25-101,1997,0.7,16,14,2,2,0,0,0,0,0,0,0,0,16,0,0
Ghaylène Chaalali,MF,Tunisia,28-282,1994,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Gideon Mensah,DF,Ghana,24-142,1998,1.0,46,39,7,1,0,1,1,6,0,0,0,0,36,0,0
Gio Reyna,FW,United States,20-024,2002,0.6,38,34,3,0,0,1,2,2,0,0,0,0,26,1,1
Giorgian De Arrascaeta,MF,Uruguay,28-189,1994,1.2,52,47,5,2,2,0,6,1,2,1,1,0,32,0,4
Gleison Bremer,DF,Brazil,25-264,1997,1.2,84,81,2,0,0,0,0,2,0,0,0,0,78,1,0
Gonzalo Montiel,DF,Argentina,25-340,1997,0.8,57,47,10,0,0,0,1,10,0,0,0,0,52,0,1
Gonzalo Plata,MF,Ecuador,22-036,2000,3.0,104,87,17,4,0,0,17,3,6,6,0,0,77,0,1
Gonçalo Ramos,FW,Portugal,21-170,2001,0.9,22,21,1,0,0,0,0,0,0,0,0,0,18,0,1
Granit Xhaka,MF,Switzerland,30-071,1992,4.0,243,230,13,11,0,1,0,1,1,0,0,0,215,0,1
Gregor Kobel,GK,Switzerland,25-001,1997,1.0,29,18,11,3,0,0,0,0,0,0,0,0,21,0,0
Grzegorz Krychowiak,MF,Poland,32-312,1990,3.7,127,123,4,4,0,3,1,0,0,0,0,0,93,0,3
Guido Rodríguez,MF,Argentina,28-239,1994,0.6,64,62,2,2,0,1,0,0,0,0,0,0,54,0,0
Guillermo Ochoa,GK,Mexico,37-147,1985,3.0,109,75,32,6,0,0,0,0,0,0,0,0,93,2,0
Guillermo Varela,DF,Uruguay,29-258,1993,2.0,92,72,20,2,0,1,7,18,0,0,0,0,62,0,2
Haji Wright,FW,United States,24-255,1998,1.5,27,24,3,0,0,0,1,0,0,0,0,0,20,0,1
Hakim Ziyech,FW,Morocco,29-263,1993,4.2,145,123,19,11,0,9,13,6,2,1,0,0,92,3,6
