player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Bartosz Bereszyński,DF,Poland,30-148,1992,3.8,1,0.26,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Bassam Al-Rawi,DF,Qatar,24-356,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ben Davies,DF,Wales,29-227,1993,2.6,4,1.51,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Benjamin Pavard,DF,France,26-254,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bernardo Silva,MF,Portugal,28-119,1994,3.0,11,3.71,9,1,0,0,1,0,3,1.01,3,0,0,0,0,0
Borna Barišić,DF,Croatia,30-027,1992,1.3,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Borna Sosa,DF,Croatia,24-320,1998,3.0,3,1.00,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Boualem Khoukhi,DF,Qatar,32-151,1990,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Boulaye Dia,FW,Senegal,26-021,1996,3.5,5,1.42,4,0,0,1,0,0,1,0.28,1,0,0,0,0,0
Brandon Aguilera,MF,Costa Rica,19-162,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Breel Embolo,FW,Switzerland,25-296,1997,3.6,6,1.67,3,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Brenden Aaronson,MF,United States,22-046,2000,1.2,3,2.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Brennan Johnson,FW,Wales,21-198,2001,1.0,1,0.99,0,1,0,0,0,0,1,0.99,0,1,0,0,0,0
Bruno Fernandes,FW,Portugal,28-090,1994,3.0,9,3.05,6,3,0,0,0,0,4,1.35,3,1,0,0,0,0
Bruno Guimarães,MF,Brazil,25-021,1997,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bruno Petković,FW,Croatia,28-082,1994,1.3,2,1.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bryan Mbeumo,FW,Cameroon,23-122,1999,2.6,8,3.23,4,3,0,1,0,0,0,0.00,0,0,0,0,0,0
Bryan Oviedo,DF,Costa Rica,32-292,1990,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bryan Ruiz,MF,Costa Rica,37-111,1985,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bukayo Saka,FW,England,21-093,2001,2.3,4,1.71,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Callum Wilson,FW,England,30-283,1992,0.5,4,7.50,4,0,0,0,0,0,1,1.87,1,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,24-341,1997,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Gruezo,MF,Ecuador,27-232,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Martínez,DF,Costa Rica,23-252,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Soler,MF,Spain,25-339,1997,1.0,4,5.81,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Casemiro,MF,Brazil,30-287,1992,3.0,5,1.67,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Celso Borges,MF,Costa Rica,34-194,1988,2.8,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charles De Ketelaere,FW,Belgium,21-272,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-338,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cheikhou Kouyaté,MF,Senegal,32-351,1989,0.8,2,2.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cho Guesung,FW,Korea Republic,24-316,1998,3.1,4,1.31,3,0,0,0,1,0,1,0.33,0,0,0,0,1,0
Cho Yumin,FW,Korea Republic,26-020,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-032,1997,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Bassogog,MF,Cameroon,27-050,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Eriksen,MF,Denmark,30-296,1992,3.0,10,3.33,3,6,0,1,0,0,0,0.00,0,0,0,0,0,0
Christian Fassnacht,FW,Switzerland,29-026,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Nørgaard,MF,Denmark,28-272,1994,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Pulisic,FW,United States,24-080,1998,3.5,14,4.00,9,3,2,0,0,0,2,0.57,2,0,0,0,0,0
Christopher Wooh,DF,Cameroon,21-080,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cody Gakpo,FW,Netherlands,23-214,1999,3.8,13,3.45,8,4,0,1,0,0,2,0.53,2,0,0,0,0,0
Collins Fai,DF,Cameroon,30-116,1992,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Connor Roberts,DF,Wales,27-075,1995,2.2,6,2.69,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Craig Goodwin,MF,Australia,30-356,1991,2.6,5,1.92,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Cristian Romero,DF,Argentina,24-224,1998,2.9,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cristiano Ronaldo,FW,Portugal,37-305,1985,2.8,9,3.24,7,0,0,1,1,0,2,0.72,1,0,0,0,1,0
Cyle Larin,FW,Canada,27-234,1995,1.5,5,3.28,4,0,1,0,0,0,1,0.66,1,0,0,0,0,0
César Azpilicueta,DF,Spain,33-101,1989,1.5,4,2.67,4,0,0,0,0,0,1,0.67,1,0,0,0,0,0
César Montes,DF,Mexico,25-286,1997,3.0,3,1.00,3,0,0,0,0,0,2,0.67,2,0,0,0,0,0
Daichi Kamada,FW,Japan,26-124,1996,3.6,7,1.96,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Daizen Maeda,FW,Japan,25-048,1997,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daley Blind,DF,Netherlands,32-273,1990,4.0,4,1.00,3,0,0,1,0,0,1,0.25,1,0,0,0,0,0
Damian Szymański,MF,Poland,27-174,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dani Alves,DF,Brazil,39-215,1983,1.3,4,3.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Dani Carvajal,DF,Spain,30-330,1992,1.5,1,0.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dani Olmo,FW,Spain,24-214,1998,4.1,12,2.94,9,1,1,0,1,0,3,0.74,3,0,0,0,0,0
Daniel Amartey,DF,Ghana,27-351,1994,2.8,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Chacón,MF,Costa Rica,21-240,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel James,FW,Wales,25-027,1997,1.7,2,1.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Kyereh,MF,Ghana,26-274,1996,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo,DF,Brazil,31-145,1991,1.8,4,2.24,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo Pereira,DF,Portugal,31-089,1991,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danny Ward,GK,Wales,29-168,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darko Lazović,DF,Serbia,32-083,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darwin Núñez,FW,Uruguay,23-166,1999,2.7,8,3.00,7,0,0,0,1,0,1,0.37,1,0,0,0,0,0
David Raum,DF,Germany,24-229,1998,2.7,14,5.21,9,4,0,0,1,0,2,0.74,1,0,0,0,1,0
David Wotherspoon,MF,Canada,32-325,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Davy Klaassen,MF,Netherlands,29-289,1993,2.1,7,3.32,7,0,0,0,0,0,2,0.95,2,0,0,0,0,0
Dayot Upamecano,DF,France,24-041,1998,3.0,13,4.33,12,0,0,1,0,0,3,1.00,3,0,0,0,0,0
DeAndre Yedlin,DF,United States,29-151,1993,0.4,2,5.45,2,0,0,0,0,0,1,2.73,1,0,0,0,0,0
Declan Rice,MF,England,23-327,1999,3.6,3,0.83,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0
Dejan Lovren,DF,Croatia,33-155,1989,4.3,2,0.50,2,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Denis Odoi,DF,Ghana,34-194,1988,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Denis Zakaria,MF,Switzerland,26-017,1996,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Denzel Dumfries,DF,Netherlands,26-233,1996,4.0,5,1.25,5,0,0,0,0,0,2,0.50,2,0,0,0,0,0
Devis Epassy,GK,Cameroon,29-308,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diego Godín,DF,Uruguay,36-294,1986,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Costa,GK,Portugal,23-079,1999,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Dalot,DF,Portugal,23-264,1999,2.0,7,3.50,4,1,1,1,0,0,2,1.00,1,0,1,0,0,0
Djibril Sow,MF,Switzerland,25-304,1997,2.9,5,1.70,5,0,0,0,0,0,2,0.68,2,0,0,0,0,0
Djorkaeff Reasco,FW,Ecuador,23-323,1999,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dominik Livaković,GK,Croatia,27-332,1995,4.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dries Mertens,MF,Belgium,35-215,1987,0.8,5,5.92,3,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Dušan Tadić,MF,Serbia,34-017,1988,2.9,14,4.90,10,4,0,0,0,0,2,0.70,1,1,0,0,0,0
Dušan Vlahović,FW,Serbia,22-313,2000,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dylan Bronn,DF,Tunisia,27-171,1995,1.8,2,1.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eden Hazard,MF,Belgium,31-334,1991,1.4,5,3.63,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Ederson,GK,Brazil,29-112,1993,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Edimilson Fernandes,FW,Switzerland,26-236,1996,1.6,3,1.86,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edinson Cavani,FW,Uruguay,35-296,1987,1.4,5,3.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edouard Mendy,GK,Senegal,30-281,1992,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edson Álvarez,MF,Mexico,25-044,1997,1.9,4,2.06,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eduardo Camavinga,DF,France,20-027,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ehsan Hajsafi,MF,IR Iran,32-285,1990,2.6,3,1.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ellyes Skhiri,MF,Tunisia,27-211,1995,3.0,5,1.67,4,0,0,1,0,0,1,0.33,1,0,0,0,0,0
Emiliano Martínez,GK,Argentina,30-096,1992,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Enner Valencia,FW,Ecuador,33-033,1989,2.8,7,2.47,3,0,0,3,1,0,1,0.35,0,0,0,0,1,0
Enzo Ebosse,DF,Cameroon,23-271,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Enzo Fernández,MF,Argentina,21-324,2001,2.6,8,3.08,7,0,1,0,0,0,3,1.15,2,0,1,0,0,0
Eray Cömert,DF,Switzerland,24-306,1998,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eric Dier,DF,England,28-326,1994,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-259,1989,2.8,5,1.78,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Erick Gutiérrez,MF,Mexico,27-175,1995,0.5,1,1.84,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Ethan Ampadu,MF,Wales,22-084,2000,2.8,4,1.41,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Everton Ribeiro,MF,Brazil,33-241,1989,0.4,2,5.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Exequiel Palacios,MF,Argentina,24-063,1998,0.4,3,8.18,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Fabian Frei,MF,Switzerland,33-333,1989,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabian Rieder,FW,Switzerland,20-294,2002,0.8,1,1.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabian Schär,DF,Switzerland,30-352,1991,1.5,6,4.00,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Fabinho,MF,Brazil,29-045,1993,1.0,4,4.00,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Facundo Pellistri,MF,Uruguay,20-352,2001,2.0,3,1.49,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Famara Diedhiou,FW,Senegal,29-357,1992,1.0,3,2.93,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Federico Valverde,MF,Uruguay,24-138,1998,3.0,14,4.67,9,3,1,1,0,0,0,0.00,0,0,0,0,0,0
Ferjani Sassi,MF,Tunisia,30-264,1992,0.5,3,5.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ferrán Torres,FW,Spain,22-281,2000,2.4,2,0.83,2,0,0,0,0,0,1,0.41,1,0,0,0,0,0
Filip Kostić,DF,Serbia,30-036,1992,2.0,5,2.51,4,1,0,0,0,0,1,0.50,1,0,0,0,0,0
Filip Mladenović,DF,Serbia,31-114,1991,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Filip Đuričić,MF,Serbia,30-311,1992,0.2,2,12.86,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-207,2000,3.0,2,0.67,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Fodé Ballo-Touré,DF,Senegal,25-338,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fran Karačić,DF,Australia,26-209,1996,1.0,2,1.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francisco Calvo,DF,Costa Rica,30-152,1992,2.0,1,0.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Fred,MF,Brazil,29-277,1993,1.4,5,3.54,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Frenkie de Jong,MF,Netherlands,25-209,1997,3.9,9,2.28,8,0,0,1,0,0,2,0.51,2,0,0,0,0,0
Félix Torres Caicedo,DF,Ecuador,25-330,1997,3.0,2,0.67,0,0,0,1,0,1,1,0.33,0,0,0,1,0,0
Gabriel Jesus,FW,Brazil,25-248,1997,1.0,6,5.81,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Garang Kuol,FW,Australia,18-083,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
